edinet_code,year,avg_salary,avg_age,employees_nonconsolidated,source,period_end,doc_id
E02602,2019,7981000,42.2,471.0,tag,2019-03-31,S100GDCU
E02602,2020,8040000,42.2,473.0,tag,2020-03-31,S100J52U
E02602,2021,8101000,42.2,464.0,tag,2021-03-31,S100LVDM
E02602,2022,8950000,41.6,462.0,tag,2022-03-31,S100OL8B
E02602,2023,8190000,42.0,457.0,tag,2023-03-31,S100RAK2
E02602,2024,8412000,42.2,448.0,tag,2024-03-31,S100TY0A
E02602,2025,8749000,42.0,450.0,tag,2025-03-31,S100W8XJ
E02602,2026,9229000,41.2,442.0,tag,2026-03-31,S100YJ7S
E02604,2017,4734864,43.1,365.0,textblock,2017-09-30,S100BZQS
E02604,2018,4737144,42.7,372.0,textblock,2018-09-30,S100ETSA
E02604,2019,4732434,42.5,380.0,textblock,2019-09-30,S100HMRW
E02604,2020,5015000,42.2,381.0,textblock,2020-09-30,S100KF8K
E02604,2021,5502272,42.2,389.0,textblock,2021-09-30,S100N3TE
E02604,2022,5898995,42.2,386.0,textblock,2022-09-30,S100PVUL
E02604,2023,5726951,42.3,375.0,textblock,2023-09-30,S100SJMM
E02604,2024,5256421,42.5,363.0,textblock,2024-09-30,S100V0MD
E02604,2025,5795115,41.8,376.0,tag,2025-09-30,S100XCRL
E02608,2017,6240495,46.5,191.0,textblock,2017-03-31,S100AP57
E02608,2018,6244371,46.9,195.0,textblock,2018-03-31,S100DDQV
E02608,2019,6218502,45.4,228.0,tag,2019-03-31,S100GCB0
E02608,2020,6076457,46.4,233.0,tag,2020-03-31,S100J1S1
E02608,2021,5875981,47.4,227.0,tag,2021-03-31,S100LUOG
E02608,2022,6049697,47.4,224.0,tag,2022-03-31,S100OLHO
E02608,2023,6010459,47.3,192.0,tag,2023-03-31,S100R9FR
E02608,2024,6087000,47.3,192.0,tag,2024-03-31,S100TX0G
E02608,2025,6167346,47.3,193.0,tag,2025-03-31,S100W4IU
E02608,2026,6786796,48.3,199.0,tag,2026-03-31,S100YHSN
E02611,2017,7701404,44.6,4161.0,textblock,2017-03-31,S100AQ3G
E02611,2018,7936567,45.2,4190.0,textblock,2018-03-31,S100DFUI
E02611,2019,8254402,45.7,4350.0,tag,2019-03-31,S100G8UQ
E02611,2020,8374830,46.0,4355.0,tag,2020-03-31,S100IZQM
E02611,2021,8088571,46.1,4407.0,tag,2021-03-31,S100LJPZ
E02611,2022,8100039,46.1,4451.0,tag,2022-03-31,S100OKI4
E02611,2023,8163349,46.3,4442.0,tag,2023-03-31,S100R78X
E02611,2024,8502857,46.4,4424.0,tag,2024-03-31,S100TTV6
E02611,2025,8462098,46.4,4254.0,tag,2025-03-31,S100W2VL
E02611,2026,8846208,46.3,4359.0,tag,2026-03-31,S100YFCP
E02616,2017,6022000,45.0,358.0,textblock,2017-03-31,S100AB6F
E02616,2018,6330000,45.4,358.0,textblock,2018-03-31,S100D5D4
E02616,2019,6360000,45.8,357.0,tag,2019-03-31,S100G0LX
E02616,2020,6229000,45.7,362.0,tag,2020-03-31,S100IS51
E02616,2021,6075000,45.3,383.0,tag,2021-03-31,S100LJCV
E02616,2022,5990000,45.3,391.0,tag,2022-03-31,S100OCQU
E02616,2023,6159000,45.3,389.0,tag,2023-03-31,S100R3DU
E02616,2024,6619000,45.2,388.0,tag,2024-03-31,S100TUR5
E02616,2025,7346000,45.4,391.0,tag,2025-03-31,S100VZJS
